                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2187,                 1.5152,                 1.3598,                 0.0568,                0.68898,                0.05058,                0.02781,                 1.4093,                 55.762,                 2.6336,             0.00065686,             0.00065686,             0.00065686
                      2,                   1.29,                 1.1825,                 1.4191,                0.01509,                0.66535,                0.01251,                0.00626,                 1.8678,                    inf,                 4.2332,              0.0013148,              0.0013148,              0.0013148
                      3,                 1.3757,                 1.2007,                 1.4578,                0.46401,                0.51575,                0.40187,                 0.2045,                  1.749,                 4.5533,                 1.9658,              0.0019639,              0.0019639,              0.0019639
                      4,                  1.309,                 1.1153,                 1.4135,                0.00629,                0.51575,                0.00492,                0.00271,                 1.9337,                    inf,                 2.1819,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.2446,                 1.0119,                 1.3591,                0.68423,                0.66969,                0.69632,                0.43736,                 1.1548,                 1.3951,                 1.4329,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.2263,                 1.0117,                 1.3718,                0.86804,                0.84252,                0.89227,                0.57867,                 1.1209,                 1.1381,                 1.4003,               0.001934,               0.001934,               0.001934
                      7,                 1.1851,                0.95103,                 1.3497,                 0.7754,                0.78156,                0.83449,                0.58104,                 1.0651,                 1.5616,                 1.3166,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.1023,                0.87761,                 1.2945,                 0.8672,                0.88583,                0.92101,                0.60775,                 1.0805,                 0.8571,                 1.3779,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.0892,                0.83656,                 1.2581,                0.88542,                0.77756,                0.87927,                0.60085,                 1.1166,                  0.978,                   1.32,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.0788,                0.83247,                 1.2496,                0.90041,                0.87211,                0.92758,                0.65349,                0.98492,                0.87461,                 1.2691,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.0202,                0.76424,                 1.2298,                0.92952,                0.90862,                0.94384,                0.68483,                0.93584,                0.67046,                 1.2407,               0.001868,               0.001868,               0.001868
                     12,                 1.0057,                 0.7264,                 1.2248,                 0.8803,                 0.8622,                0.92118,                0.62577,                 1.0911,                0.79917,                 1.2902,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.0338,                0.73547,                 1.2321,                0.91675,                0.88875,                0.93993,                0.69294,                0.94405,                0.78944,                 1.2253,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.0273,                0.74667,                 1.2458,                0.93395,                0.88386,                0.94157,                0.68098,                0.95133,                0.69587,                 1.2257,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.0423,                0.74144,                 1.2355,                0.92784,                0.93648,                 0.9581,                0.70911,                0.91241,                0.63273,                 1.1893,              0.0018152,              0.0018152,              0.0018152
                     16,                0.98389,                 0.7018,                 1.2247,                0.93195,                 0.9311,                0.96064,                0.72177,                0.90123,                0.63671,                 1.1869,               0.001802,               0.001802,               0.001802
                     17,                 0.9726,                0.68501,                  1.199,                0.96164,                0.91929,                0.95588,                0.71356,                0.88576,                0.62664,                 1.1844,              0.0017888,              0.0017888,              0.0017888
                     18,                0.94239,                0.64609,                 1.1861,                0.93194,                 0.9434,                0.94863,                0.70626,                0.87747,                 0.6286,                 1.2207,              0.0017756,              0.0017756,              0.0017756
                     19,                0.94027,                0.67498,                 1.1942,                 0.9467,                0.93307,                0.94803,                 0.6801,                 1.0058,                0.66288,                 1.2216,              0.0017624,              0.0017624,              0.0017624
                     20,                0.93519,                0.66915,                 1.1738,                0.95897,                 0.9311,                0.96712,                0.71748,                0.87884,                0.59145,                 1.1526,              0.0017492,              0.0017492,              0.0017492
                     21,                0.90307,                 0.6137,                 1.1624,                0.93827,                 0.9685,                0.97099,                0.72196,                 0.8817,                0.54866,                 1.1635,               0.001736,               0.001736,               0.001736
                     22,                 0.9092,                0.61531,                  1.164,                0.93175,                0.94882,                0.96953,                0.75387,                0.79951,                0.49593,                 1.1162,              0.0017228,              0.0017228,              0.0017228
                     23,                0.88531,                0.61273,                 1.1648,                0.94412,                0.93134,                0.96048,                0.74503,                0.79318,                0.50231,                 1.1286,              0.0017096,              0.0017096,              0.0017096
                     24,                0.90014,                0.60296,                 1.1536,                0.95017,                0.93701,                0.97159,                0.72446,                0.83922,                 0.5348,                 1.1716,              0.0016964,              0.0016964,              0.0016964
                     25,                0.89377,                0.62156,                 1.1553,                0.96487,                0.94094,                0.96493,                0.73368,                0.85376,                0.56435,                 1.1541,              0.0016832,              0.0016832,              0.0016832
                     26,                0.85572,                0.59202,                 1.1239,                0.97294,                0.93504,                0.97307,                0.72698,                0.87642,                0.51342,                 1.1717,                0.00167,                0.00167,                0.00167
                     27,                0.84451,                0.56421,                 1.1179,                0.97338,                0.93556,                0.97635,                0.74705,                  0.831,                0.48828,                 1.1314,              0.0016568,              0.0016568,              0.0016568
                     28,                0.86186,                 0.5784,                 1.1359,                0.95814,                0.94628,                0.96926,                0.74126,                0.77082,                0.48696,                 1.1381,              0.0016436,              0.0016436,              0.0016436
                     29,                0.83114,                0.57146,                 1.1342,                0.96199,                0.93898,                0.96961,                0.74619,                0.79332,                0.51414,                 1.1365,              0.0016304,              0.0016304,              0.0016304
                     30,                0.84183,                0.57228,                 1.1377,                0.96328,                0.94488,                0.97804,                0.74987,                 0.8402,                0.48666,                 1.1283,              0.0016172,              0.0016172,              0.0016172
                     31,                0.80378,                0.54717,                  1.104,                0.95103,                0.94291,                0.96922,                0.76511,                0.73447,                0.46256,                 1.0907,               0.001604,               0.001604,               0.001604
                     32,                0.82148,                 0.5459,                 1.1207,                0.95211,                0.93307,                0.96365,                0.76057,                0.76021,                0.47438,                 1.1156,              0.0015908,              0.0015908,              0.0015908
                     33,                0.78329,                0.55025,                 1.1141,                 0.9555,                0.95866,                0.96967,                0.76838,                0.75379,                0.49102,                 1.0912,              0.0015776,              0.0015776,              0.0015776
                     34,                0.83114,                0.55089,                 1.1253,                0.96064,                0.95276,                0.97575,                0.71947,                0.87568,                0.49588,                 1.1612,              0.0015644,              0.0015644,              0.0015644
                     35,                0.78112,                0.51114,                 1.1017,                0.97095,                0.95276,                0.97485,                0.77739,                0.72779,                0.44436,                 1.0947,              0.0015512,              0.0015512,              0.0015512
                     36,                0.80172,                0.52288,                 1.1038,                0.97347,                0.95079,                 0.9767,                0.75469,                0.76366,                0.46165,                 1.1191,               0.001538,               0.001538,               0.001538
                     37,                0.78404,                0.53206,                 1.0944,                0.96799,                0.95251,                0.96963,                0.74068,                 0.8072,                0.50733,                 1.1278,              0.0015248,              0.0015248,              0.0015248
                     38,                0.78312,                0.53927,                 1.0885,                0.96212,                0.93701,                0.97437,                0.77505,                0.71091,                  0.433,                  1.093,              0.0015116,              0.0015116,              0.0015116
                     39,                0.77923,                0.52188,                 1.1043,                0.96797,                0.95169,                0.96259,                0.76894,                 0.7128,                0.42947,                 1.1094,              0.0014984,              0.0014984,              0.0014984
                     40,                0.76115,                0.49756,                 1.0978,                0.96436,                0.95889,                0.97344,                0.76412,                0.74907,                0.42345,                 1.1184,              0.0014852,              0.0014852,              0.0014852
                     41,                0.79047,                0.49783,                 1.0845,                0.96112,                0.95866,                0.97489,                0.72546,                0.88241,                0.48351,                 1.1651,               0.001472,               0.001472,               0.001472
                     42,                0.75118,                0.49393,                  1.072,                0.96292,                0.95669,                0.97456,                 0.7838,                0.68601,                0.39892,                  1.061,              0.0014588,              0.0014588,              0.0014588
                     43,                0.77206,                0.49619,                 1.0843,                0.94222,                0.95276,                0.96391,                0.76221,                0.76313,                0.54671,                 1.0886,              0.0014456,              0.0014456,              0.0014456
                     44,                0.75361,                0.50565,                 1.0814,                0.96386,                0.94508,                0.97412,                0.76244,                0.75645,                0.44921,                  1.083,              0.0014324,              0.0014324,              0.0014324
                     45,                0.75513,                0.49148,                 1.0796,                0.96181,                0.94207,                 0.9638,                0.76911,                0.73745,                0.45835,                 1.0931,              0.0014192,              0.0014192,              0.0014192
                     46,                 0.7488,                0.51219,                 1.0605,                0.97725,                0.93032,                0.97161,                0.74979,                 0.7813,                0.45198,                  1.101,               0.001406,               0.001406,               0.001406
                     47,                0.72021,                 0.4794,                 1.0557,                0.97368,                0.94683,                0.97406,                0.78987,                  0.669,                0.40967,                  1.066,              0.0013928,              0.0013928,              0.0013928
                     48,                 0.7315,                0.47692,                 1.0657,                0.97349,                 0.9399,                0.96614,                0.77995,                0.70057,                0.41216,                 1.0896,              0.0013796,              0.0013796,              0.0013796
                     49,                0.73241,                 0.4674,                 1.0815,                0.97256,                0.93898,                 0.9685,                0.77392,                0.70791,                0.43343,                 1.0857,              0.0013664,              0.0013664,              0.0013664
                     50,                 0.7112,                0.45554,                 1.0406,                0.95129,                0.96457,                0.97459,                0.78784,                0.69178,                0.41632,                 1.0667,              0.0013532,              0.0013532,              0.0013532
                     51,                0.74063,                0.47319,                  1.072,                0.96513,                0.94882,                0.95913,                0.78831,                0.68235,                0.41946,                  1.089,                0.00134,                0.00134,                0.00134
                     52,                0.70567,                0.46944,                 1.0591,                0.97577,                0.95669,                0.97892,                0.78801,                0.70183,                 0.4116,                 1.0486,              0.0013268,              0.0013268,              0.0013268
                     53,                0.68201,                0.45632,                 1.0402,                 0.9728,                0.94882,                0.96907,                0.79563,                0.64354,                0.41506,                 1.0491,              0.0013136,              0.0013136,              0.0013136
                     54,                0.69491,                0.45114,                 1.0579,                0.97206,                0.95276,                0.97161,                0.80389,                0.64686,                0.38199,                 1.0616,              0.0013004,              0.0013004,              0.0013004
                     55,                0.71616,                0.46532,                 1.0687,                0.97749,                0.93701,                0.96932,                0.75899,                0.78339,                0.44321,                 1.1067,              0.0012872,              0.0012872,              0.0012872
                     56,                0.67479,                0.44043,                 1.0384,                0.96439,                0.95969,                0.97683,                0.80787,                0.64522,                0.39129,                 1.0437,               0.001274,               0.001274,               0.001274
                     57,                 0.6809,                0.43024,                 1.0399,                0.97007,                0.95693,                0.97723,                0.80389,                 0.6365,                0.38106,                  1.036,              0.0012608,              0.0012608,              0.0012608
                     58,                0.66998,                0.43461,                   1.03,                0.98599,                0.94488,                0.98139,                    0.8,                0.68378,                0.39211,                 1.0513,              0.0012476,              0.0012476,              0.0012476
                     59,                0.69709,                 0.4494,                 1.0488,                 0.9687,                0.94291,                0.97669,                0.79497,                0.67676,                0.39377,                 1.0376,              0.0012344,              0.0012344,              0.0012344
                     60,                0.67337,                0.43147,                  1.035,                0.97562,                0.95276,                0.97921,                0.78905,                0.71356,                0.39141,                 1.0675,              0.0012212,              0.0012212,              0.0012212
                     61,                0.68474,                0.42949,                 1.0472,                 0.9737,                0.95472,                0.97323,                0.79875,                0.66211,                0.38569,                 1.0542,               0.001208,               0.001208,               0.001208
                     62,                0.66024,                0.43012,                  1.039,                0.96834,                0.96347,                0.97749,                 0.8084,                 0.6611,                0.37389,                 1.0409,              0.0011948,              0.0011948,              0.0011948
                     63,                0.65179,                0.42905,                 1.0293,                0.95869,                0.95926,                0.96392,                0.80286,                0.65169,                0.39182,                 1.0502,              0.0011816,              0.0011816,              0.0011816
                     64,                 0.6678,                0.41407,                 1.0162,                0.97397,                0.95755,                0.97728,                0.81084,                 0.6517,                0.38221,                 1.0467,              0.0011684,              0.0011684,              0.0011684
                     65,                0.66867,                0.42342,                 1.0417,                0.96256,                 0.9617,                0.97899,                0.79331,                0.68132,                0.38779,                 1.0474,              0.0011552,              0.0011552,              0.0011552
                     66,                0.65233,                0.43191,                 1.0141,                0.97086,                0.95866,                0.97954,                0.81356,                0.60531,                0.36855,                 1.0371,               0.001142,               0.001142,               0.001142
                     67,                0.65463,                0.42194,                 1.0182,                0.96566,                0.94488,                0.97374,                0.80831,                0.62965,                0.38846,                 1.0296,              0.0011288,              0.0011288,              0.0011288
                     68,                0.66726,                0.41151,                 1.0266,                0.97742,                0.95472,                0.97211,                0.81304,                0.62326,                0.36719,                 1.0184,              0.0011156,              0.0011156,              0.0011156
                     69,                 0.6698,                0.42341,                 1.0256,                0.96824,                0.96009,                0.97651,                0.82146,                0.62922,                0.37063,                 1.0305,              0.0011024,              0.0011024,              0.0011024
                     70,                0.62314,                 0.4032,                 1.0234,                0.97237,                0.95866,                0.97804,                0.81835,                0.63037,                0.38242,                 1.0176,              0.0010892,              0.0010892,              0.0010892
                     71,                0.63953,                0.40161,                 1.0098,                 0.9789,                0.95079,                0.97789,                0.81373,                0.63555,                0.36894,                  1.027,               0.001076,               0.001076,               0.001076
                     72,                0.60165,                0.38501,                 1.0122,                 0.9757,                0.94831,                0.96716,                0.81087,                0.64675,                0.37795,                 1.0276,              0.0010628,              0.0010628,              0.0010628
                     73,                0.63872,                0.40455,                 1.0179,                 0.9798,                0.95477,                 0.9722,                0.83018,                0.60113,                0.35983,                 1.0216,              0.0010496,              0.0010496,              0.0010496
                     74,                0.62157,                0.39744,                 1.0096,                0.95888,                0.96393,                 0.9723,                0.82525,                0.59421,                0.37334,                 1.0232,              0.0010364,              0.0010364,              0.0010364
                     75,                0.61898,                0.39374,                 1.0132,                0.96822,                 0.9596,                0.97937,                0.83565,                0.59376,                0.35722,                 1.0181,              0.0010232,              0.0010232,              0.0010232
                     76,                0.65179,                0.40357,                 1.0304,                0.97218,                0.96317,                0.97667,                0.82529,                0.62472,                0.37199,                 1.0309,                0.00101,                0.00101,                0.00101
                     77,                 0.6099,                0.38403,                 1.0068,                0.97202,                0.95754,                0.97831,                0.82196,                0.62172,                 0.3715,                 1.0177,              0.0009968,              0.0009968,              0.0009968
                     78,                0.60088,                0.38517,                 1.0048,                0.98359,                0.94363,                0.97789,                0.82686,                0.60889,                0.36303,                 1.0113,              0.0009836,              0.0009836,              0.0009836
                     79,                0.62222,                0.39796,                  1.004,                0.98118,                0.95669,                0.98231,                 0.8372,                0.59871,                  0.341,                  1.017,              0.0009704,              0.0009704,              0.0009704
                     80,                0.60028,                0.38902,                0.99117,                0.97966,                 0.9626,                0.97783,                0.82987,                0.61885,                0.34988,                 1.0291,              0.0009572,              0.0009572,              0.0009572
                     81,                0.62454,                0.37911,                 1.0012,                0.95818,                0.94094,                0.97572,                0.82558,                 0.6078,                  0.384,                 1.0205,               0.000944,               0.000944,               0.000944
                     82,                0.59323,                0.39773,                0.99054,                0.97297,                0.95079,                0.97839,                0.80475,                0.64222,                0.36061,                 1.0375,              0.0009308,              0.0009308,              0.0009308
                     83,                0.59318,                0.36885,                 1.0038,                0.97365,                0.94573,                0.97984,                0.82496,                0.62115,                0.37389,                 1.0338,              0.0009176,              0.0009176,              0.0009176
                     84,                0.60158,                0.38556,                 1.0041,                0.96709,                0.94291,                0.97844,                0.83451,                0.58836,                0.35096,                  1.007,              0.0009044,              0.0009044,              0.0009044
                     85,                0.58514,                0.36807,                  0.995,                0.97108,                0.94882,                0.97486,                 0.8107,                0.64144,                0.37106,                 1.0277,              0.0008912,              0.0008912,              0.0008912
                     86,                0.59763,                0.37781,                 0.9976,                0.97578,                0.95156,                0.97393,                0.83336,                 0.5812,                0.36096,                 1.0154,               0.000878,               0.000878,               0.000878
                     87,                0.61172,                0.39389,                 1.0146,                 0.9742,                0.95669,                0.98016,                0.82886,                0.61649,                0.35079,                 1.0128,              0.0008648,              0.0008648,              0.0008648
                     88,                0.57195,                0.35513,                 0.9865,                0.96882,                0.95079,                0.97767,                0.84322,                0.57151,                0.35514,                0.99431,              0.0008516,              0.0008516,              0.0008516
                     89,                0.57445,                0.35634,                0.97842,                0.96878,                0.94291,                0.97743,                0.83077,                0.59321,                0.36411,                 1.0082,              0.0008384,              0.0008384,              0.0008384
                     90,                0.55821,                0.34631,                0.98854,                0.97289,                0.95276,                0.97834,                0.84608,                0.57105,                0.33446,                0.99738,              0.0008252,              0.0008252,              0.0008252
                     91,                0.57151,                0.36586,                0.99882,                0.97647,                0.94882,                0.97806,                0.81603,                0.63487,                0.37131,                 1.0263,               0.000812,               0.000812,               0.000812
                     92,                0.57007,                0.35459,                0.97662,                0.97661,                0.96063,                0.97894,                0.84233,                0.58299,                0.33945,                0.99929,              0.0007988,              0.0007988,              0.0007988
                     93,                0.56404,                0.36496,                0.98016,                0.98395,                0.96555,                0.98223,                0.85139,                 0.5556,                0.32431,                0.98175,              0.0007856,              0.0007856,              0.0007856
                     94,                0.57037,                 0.3611,                0.98993,                0.97603,                0.95472,                0.98058,                0.84595,                0.58248,                0.34196,                0.99273,              0.0007724,              0.0007724,              0.0007724
                     95,                0.57179,                0.35054,                0.97869,                0.96823,                 0.9599,                0.97703,                0.84605,                0.55784,                0.34516,                0.98481,              0.0007592,              0.0007592,              0.0007592
                     96,                0.56139,                0.35007,                 0.9852,                0.97777,                0.95223,                0.97582,                 0.8405,                0.57367,                0.35019,                0.99979,               0.000746,               0.000746,               0.000746
                     97,                0.55603,                0.34853,                0.98527,                  0.976,                0.96056,                0.97873,                0.85324,                0.55467,                0.35062,                0.98239,              0.0007328,              0.0007328,              0.0007328
                     98,                 0.5525,                0.33855,                0.97936,                0.97025,                0.95472,                0.97654,                0.84375,                0.55805,                0.34426,                0.99657,              0.0007196,              0.0007196,              0.0007196
                     99,                0.57204,                0.35367,                0.98301,                0.97026,                0.96331,                0.97986,                0.84913,                0.55982,                0.32953,                0.99232,              0.0007064,              0.0007064,              0.0007064
                    100,                0.57394,                0.35272,                0.97899,                0.97447,                0.95866,                0.98134,                0.83892,                0.60075,                0.34291,                 1.0038,              0.0006932,              0.0006932,              0.0006932
                    101,                0.53821,                0.33679,                0.95867,                 0.9818,                0.95561,                0.98019,                0.85024,                0.56923,                0.33079,                0.99357,                0.00068,                0.00068,                0.00068
                    102,                0.56457,                0.34932,                0.97824,                0.98049,                0.95866,                0.97904,                0.85317,                0.55073,                0.32998,                0.99824,              0.0006668,              0.0006668,              0.0006668
                    103,                0.53435,                0.33707,                0.97121,                0.97226,                0.96598,                0.97959,                0.83734,                0.60007,                0.33817,                  1.003,              0.0006536,              0.0006536,              0.0006536
                    104,                 0.5665,                0.33921,                0.98078,                 0.9758,                0.94488,                0.97798,                0.84967,                0.55729,                0.34013,                0.98412,              0.0006404,              0.0006404,              0.0006404
                    105,                0.52579,                0.33936,                0.97234,                0.97787,                0.96457,                0.98448,                 0.8512,                 0.5763,                0.32337,                0.99646,              0.0006272,              0.0006272,              0.0006272
                    106,                0.54531,                0.34593,                0.97878,                0.97985,                0.95721,                 0.9805,                 0.8494,                0.57511,                0.32837,                0.99382,               0.000614,               0.000614,               0.000614
                    107,                0.53924,                0.33029,                0.96191,                0.98919,                0.95276,                0.98006,                0.85396,                0.54367,                 0.3243,                0.98859,              0.0006008,              0.0006008,              0.0006008
                    108,                0.53411,                0.33469,                0.96529,                0.98574,                0.95234,                0.98103,                0.85052,                0.57004,                0.33201,                 0.9978,              0.0005876,              0.0005876,              0.0005876
                    109,                0.52885,                0.33006,                0.96365,                0.96526,                0.96654,                0.98293,                0.86057,                  0.543,                0.31718,                 0.9791,              0.0005744,              0.0005744,              0.0005744
                    110,                0.51589,                0.32521,                 0.9631,                 0.9826,                0.95866,                0.98092,                0.86041,                 0.5439,                0.31533,                0.98211,              0.0005612,              0.0005612,              0.0005612
                    111,                0.53604,                  0.328,                0.96536,                0.98474,                 0.9626,                 0.9817,                0.85706,                0.55241,                0.31728,                0.98279,               0.000548,               0.000548,               0.000548
                    112,                0.52331,                0.32521,                 0.9635,                0.97781,                0.95437,                0.97803,                0.84017,                0.58173,                0.33817,                0.99246,              0.0005348,              0.0005348,              0.0005348
                    113,                0.53042,                0.31945,                0.95736,                0.97866,                0.96457,                0.97807,                 0.8592,                0.55257,                0.32197,                0.98656,              0.0005216,              0.0005216,              0.0005216
                    114,                0.51745,                0.32848,                0.95831,                0.97979,                0.95472,                0.97919,                0.85564,                 0.5421,                0.32141,                0.98016,              0.0005084,              0.0005084,              0.0005084
                    115,                0.52533,                 0.3267,                0.96696,                0.98161,                0.96457,                0.98121,                0.85798,                0.55548,                0.32202,                0.98854,              0.0004952,              0.0004952,              0.0004952
                    116,                0.52605,                0.31678,                0.95308,                0.98074,                0.95472,                 0.9783,                0.85848,                 0.5525,                 0.3271,                 0.9845,               0.000482,               0.000482,               0.000482
                    117,                0.51086,                0.32257,                0.95064,                0.97629,                0.94685,                0.98135,                 0.8561,                0.55644,                0.32419,                0.97611,              0.0004688,              0.0004688,              0.0004688
                    118,                0.52139,                0.31564,                0.95843,                 0.9877,                0.94864,                0.98025,                0.86401,                0.53196,                0.32122,                0.97068,              0.0004556,              0.0004556,              0.0004556
                    119,                0.50513,                0.31437,                  0.946,                0.97603,                0.96176,                0.98042,                 0.8604,                0.54191,                0.31745,                0.97465,              0.0004424,              0.0004424,              0.0004424
                    120,                0.49824,                0.31299,                0.95281,                  0.973,                 0.9626,                0.97901,                0.84782,                0.56405,                0.31915,                0.98311,              0.0004292,              0.0004292,              0.0004292
                    121,                0.51402,                0.31042,                0.94735,                0.97757,                 0.9626,                0.98104,                0.86449,                0.53538,                0.30896,                0.97516,               0.000416,               0.000416,               0.000416
                    122,                0.49174,                0.30137,                0.94557,                0.98194,                0.96313,                0.98066,                0.86171,                0.53745,                0.30961,                0.97566,              0.0004028,              0.0004028,              0.0004028
                    123,                0.51325,                0.31189,                 0.9561,                0.96767,                0.96457,                0.98215,                 0.8574,                0.56945,                 0.3188,                0.98652,              0.0003896,              0.0003896,              0.0003896
                    124,                0.48267,                 0.2986,                0.93909,                0.97424,                0.96795,                0.98184,                0.86491,                0.53697,                0.30757,                0.97657,              0.0003764,              0.0003764,              0.0003764
                    125,                0.47958,                0.29506,                0.94775,                0.98385,                0.95955,                0.98158,                0.86453,                0.53662,                0.30384,                0.97107,              0.0003632,              0.0003632,              0.0003632
                    126,                0.49828,                 0.3046,                0.95307,                0.97375,                 0.9626,                0.98139,                0.85834,                0.55301,                0.30959,                0.97477,                0.00035,                0.00035,                0.00035
                    127,                0.46172,                0.29103,                0.93507,                0.98369,                0.96457,                0.98122,                0.86921,                 0.5305,                0.29987,                0.97249,              0.0003368,              0.0003368,              0.0003368
                    128,                0.49031,                0.30214,                0.94447,                0.97218,                0.96306,                0.97982,                0.85581,                0.55529,                0.31882,                 0.9836,              0.0003236,              0.0003236,              0.0003236
                    129,                0.47001,                0.28599,                0.93566,                0.98389,                 0.9626,                0.97987,                0.86558,                0.53111,                0.30711,                0.97313,              0.0003104,              0.0003104,              0.0003104
                    130,                0.46707,                0.29202,                0.93415,                0.97964,                 0.9626,                0.97655,                0.86143,                0.54418,                0.30988,                0.97754,              0.0002972,              0.0002972,              0.0002972
                    131,                0.47626,                0.29164,                0.93598,                0.98375,                0.95669,                0.97822,                0.86602,                0.53993,                0.30376,                0.97561,               0.000284,               0.000284,               0.000284
                    132,                0.46675,                0.29318,                0.93718,                0.98167,                0.95866,                0.98172,                0.86877,                 0.5362,                 0.3016,                0.97534,              0.0002708,              0.0002708,              0.0002708
                    133,                0.46417,                0.28018,                0.93413,                0.97814,                0.96873,                 0.9823,                0.87223,                0.52404,                0.28922,                 0.9719,              0.0002576,              0.0002576,              0.0002576
                    134,                0.47402,                 0.2829,                0.93414,                0.98528,                0.95866,                  0.982,                0.87258,                0.52598,                  0.296,                0.96529,              0.0002444,              0.0002444,              0.0002444
                    135,                0.46344,                0.27604,                 0.9251,                0.97864,                0.96063,                 0.9812,                0.87223,                0.52268,                0.28977,                 0.9657,              0.0002312,              0.0002312,              0.0002312
                    136,                0.44952,                0.28583,                 0.9377,                0.97494,                0.95669,                0.98001,                0.87254,                0.52849,                0.29854,                0.96906,               0.000218,               0.000218,               0.000218
                    137,                0.46959,                 0.2808,                0.93222,                0.96618,                0.96654,                0.98241,                0.87195,                0.53064,                0.29132,                0.97005,              0.0002048,              0.0002048,              0.0002048
                    138,                0.45526,                0.27881,                0.92321,                0.97858,                 0.9626,                 0.9841,                0.87895,                0.51638,                0.28908,                0.96511,              0.0001916,              0.0001916,              0.0001916
                    139,                0.43358,                0.26802,                0.93314,                0.98644,                0.95866,                0.98288,                0.87534,                0.52264,                0.28748,                0.96725,              0.0001784,              0.0001784,              0.0001784
                    140,                0.44649,                0.27515,                0.92663,                0.98116,                 0.9626,                0.98279,                0.87364,                0.52558,                0.29262,                0.97049,              0.0001652,              0.0001652,              0.0001652
                    141,                0.40586,                 0.2319,                0.88407,                0.97985,                0.95733,                0.98079,                0.87098,                0.51751,                0.29376,                0.97156,               0.000152,               0.000152,               0.000152
                    142,                0.39322,                0.22461,                0.87948,                0.98599,                0.95866,                0.98216,                0.87575,                0.50536,                0.28785,                 0.9621,              0.0001388,              0.0001388,              0.0001388
                    143,                0.38705,                0.22191,                  0.878,                0.98514,                0.96457,                0.98332,                0.87548,                0.51784,                0.27935,                0.97008,              0.0001256,              0.0001256,              0.0001256
                    144,                0.38117,                0.21742,                0.88468,                0.98722,                0.96457,                0.98373,                0.87875,                0.50841,                0.28152,                0.96702,              0.0001124,              0.0001124,              0.0001124
                    145,                0.38864,                0.22023,                0.87791,                0.98756,                0.96654,                0.98247,                0.87848,                0.51715,                0.28439,                0.97123,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.38422,                0.21656,                0.87905,                0.98153,                0.96654,                0.98225,                 0.8745,                 0.5148,                0.28612,                0.96684,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.37492,                0.21121,                0.86844,                0.98525,                0.95866,                0.98321,                0.87817,                0.51014,                0.28466,                0.96268,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.37917,                0.21442,                0.87254,                 0.9876,                 0.9626,                0.98245,                0.87595,                 0.5139,                0.28583,                0.96627,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.38134,                0.21236,                0.87236,                0.98552,                0.96457,                0.98297,                 0.8773,                0.51265,                0.28519,                0.96672,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.37007,                0.20964,                 0.8751,                0.98722,                0.96457,                0.98248,                0.87646,                0.51669,                0.28645,                0.96792,               3.32e-05,               3.32e-05,               3.32e-05
